place_or_organization,roster_home,municipal_operator,community,match_status,match_method
Haliburton Highlands Health Services — Minden (Ont.),Hyland Crest,County of Haliburton,Minden,matched,manual_verified_name
Cassellholme (Ont.),Cassellholme,Board of Management for the District of Nipissing East,North Bay,matched,exact_name
Au Château (Ont.),Au Chateau,Board of Management for the District of Nipissing West,Sturgeon Falls,matched,exact_name
Eastholme Home for the Aged (Ont.),Eastholme Home for the Aged,Board of Management for the District of Parry Sound East,Powassan,matched,exact_name
Belvedere Heights (Ont.),Belvedere Heights,Board of Management for the District of Parry Sound West,Parry Sound,matched,exact_name
The District of Kenora Home for the Aged — Pinecrest Home,Pinecrest (Kenora),Board of Management of the District of Kenora,Kenora,matched,manual_verified_name
The District of Kenora Home for the Aged — Northwood Lodge,Northwood Lodge,Board of Management of the District of Kenora,Red Lake,matched,exact_name
The District of Kenora Home for the Aged — Princess Court,Princess Court,Board of Management of the District of Kenora,Dryden,matched,exact_name
Manitoulin Centennial Manor,Manitoulin Centennial Manor Home for the Aged,Board of Management for the District of Manitoulin,Little Current,matched,manual_verified_name
Teck Pioneer Residence (Ont.),Teck Pioneer Residence,Town of Kirkland Lake,Kirkland Lake,matched,exact_name
The Elliott Community (Ont.),The Elliott Long Term Care Residence,City of Guelph / The Elliott local board,Guelph,matched,manual_verified_name
Foyer des Pionniers (Ont.),Foyer Des Pionniers,Foyer Hearst-Mattice - Soins de Sante municipal/local board,Hearst,matched,exact_name
